Total Sequences	3249
Alignment Model	Unspecified
Alignment Reference Sequence	(none)
All gap sequences	1
Average number of comparable positions	112
Average sequence length (model position only)	113

Sequence Id	Start position	End position
1	328	454
2	354	454
3	348	454
4	331	454
5	328	454
6	348	454
7	348	454
8	349	454
9	342	454
10	354	454
11	348	454
12	346	454
13	328	454
14	347	454
15	350	454
16	328	454
17	346	454
18	348	454
19	329	454
20	328	454
21	344	454
22	348	454
23	348	454
24	328	454
25	329	454
26	330	454
27	347	454
28	329	454
29	348	454
30	348	454
31	349	454
32	348	454
33	348	454
34	354	454
35	331	454
36	354	454
37	349	454
38	348	454
39	328	454
40	348	454
41	348	454
42	330	454
43	348	454
44	348	454
45	328	454
46	331	454
47	348	454
48	350	454
49	353	454
50	328	454
51	329	454
52	330	454
53	348	454
54	345	454
55	328	454
56	347	454
57	347	454
58	330	454
59	328	454
60	353	454
61	354	454
62	348	454
63	354	454
64	348	454
65	328	454
66	348	454
67	331	454
68	328	454
69	348	454
70	328	454
71	348	454
72	328	454
73	353	454
74	348	454
75	348	454
76	348	454
77	348	454
78	348	454
79	354	454
80	330	454
81	348	454
82	348	454
83	329	454
84	348	454
85	348	454
86	349	454
87	348	454
88	349	454
89	354	454
90	348	454
91	328	454
92	328	454
93	349	454
94	342	454
95	353	454
96	331	454
97	347	454
98	328	454
99	348	454
100	348	454
101	331	454
102	348	454
103	328	454
104	348	454
105	328	454
106	348	454
107	348	454
108	329	454
109	331	454
110	328	454
111	348	454
112	329	454
113	348	454
114	348	454
115	328	454
116	348	454
117	347	454
118	347	454
119	348	454
120	348	454
121	329	454
122	347	454
123	352	454
124	328	454
125	329	454
126	348	454
127	352	454
128	348	454
129	348	454
130	330	454
131	328	454
132	328	454
133	348	454
134	328	454
135	348	454
136	328	454
137	348	454
138	347	454
139	348	454
140	348	454
141	348	454
142	347	454
143	342	454
144	328	454
145	347	454
146	348	454
147	353	454
148	348	454
149	329	454
150	348	454
151	353	454
152	329	454
153	353	454
154	348	454
155	348	454
156	329	454
157	348	454
158	331	454
159	348	454
160	328	454
161	348	454
162	328	454
163	331	454
164	348	454
165	347	454
166	349	454
167	348	454
168	328	454
169	348	454
170	348	454
171	354	454
172	346	454
173	348	454
174	329	454
175	354	454
176	330	454
177	348	454
178	329	454
179	348	454
180	347	454
181	344	454
182	348	454
183	348	454
184	353	454
185	352	454
186	328	454
187	328	454
188	353	454
189	347	454
190	329	454
191	348	454
192	347	454
193	348	454
194	330	454
195	348	454
196	348	454
197	348	454
198	349	454
199	328	454
200	327	454
201	349	454
202	348	454
203	347	454
204	328	454
205	349	454
206	331	454
207	354	454
208	348	454
209	78	1370
210	349	454
211	329	454
212	329	454
213	348	454
214	329	454
215	348	454
216	354	454
217	353	454
218	328	454
219	346	454
220	327	454
221	330	454
222	352	454
223	348	454
224	347	454
225	345	454
226	331	454
227	347	454
228	346	454
229	348	454
230	349	454
231	346	454
232	349	454
233	353	454
234	328	454
235	349	454
236	331	454
237	348	454
238	353	454
239	348	454
240	328	454
241	328	454
242	329	454
243	348	454
244	348	454
245	348	454
246	346	454
247	348	454
248	348	454
249	327	454
250	330	454
251	347	454
252	78	1370
253	353	454
254	348	454
255	328	454
256	348	454
257	328	454
258	328	454
259	331	454
260	353	454
261	348	454
262	331	454
263	329	454
264	348	454
265	342	454
266	327	454
267	328	454
268	348	454
269	347	454
270	329	454
271	331	454
272	328	454
273	348	454
274	348	454
275	327	454
276	330	454
277	349	454
278	348	454
279	348	454
280	348	454
281	348	454
282	347	454
283	348	454
284	331	454
285	348	454
286	353	454
287	348	454
288	331	454
289	328	454
290	347	454
291	347	454
292	348	454
293	348	454
294	347	454
295	349	454
296	348	454
297	347	454
298	353	454
299	328	454
300	348	454
301	327	454
302	328	454
303	348	454
304	329	454
305	331	454
306	346	454
307	349	454
308	329	454
309	348	454
310	328	454
311	348	454
312	328	454
313	348	454
314	348	454
315	342	454
316	348	454
317	329	454
318	330	454
319	329	454
320	348	454
321	347	454
322	348	454
323	330	454
324	348	454
325	329	454
326	353	454
327	328	454
328	330	454
329	348	454
330	328	454
331	347	454
332	328	454
333	330	454
334	346	454
335	348	454
336	328	454
337	348	454
338	329	454
339	329	454
340	353	454
341	346	454
342	354	454
343	348	454
344	347	454
345	331	454
346	331	454
347	348	454
348	348	454
349	329	454
350	328	454
351	332	454
352	348	454
353	346	454
354	348	454
355	349	454
356	348	454
357	328	454
358	354	454
359	348	454
360	328	454
361	353	454
362	348	454
363	348	454
364	330	454
365	329	454
366	348	454
367	348	454
368	347	454
369	348	454
370	348	454
371	1343	1370
372	347	454
373	329	454
374	348	454
375	348	454
376	329	454
377	329	454
378	328	454
379	345	454
380	354	454
381	348	454
382	78	1370
383	328	454
384	352	454
385	348	454
386	347	454
387	348	454
388	347	454
389	354	454
390	348	454
391	348	454
392	348	454
393	348	454
394	347	454
395	348	454
396	349	454
397	330	454
398	345	454
399	353	454
400	328	454
401	348	454
402	328	454
403	347	454
404	347	454
405	345	454
406	330	454
407	348	454
408	331	454
409	330	454
410	348	454
411	331	454
412	348	454
413	348	454
414	354	454
415	348	454
416	331	454
417	348	454
418	348	454
419	345	454
420	347	454
421	329	454
422	354	454
423	348	454
424	353	454
425	354	454
426	353	454
427	347	454
428	348	454
429	348	454
430	335	454
431	330	454
432	346	454
433	329	454
434	348	454
435	354	454
436	348	454
437	330	454
438	348	454
439	330	454
440	354	454
441	335	454
442	349	454
443	342	454
444	347	454
445	348	454
446	347	454
447	348	454
448	328	454
449	331	454
450	335	454
451	348	454
452	330	454
453	328	454
454	348	454
455	331	454
456	348	454
457	348	454
458	347	454
459	328	454
460	353	454
461	353	454
462	348	454
463	349	454
464	328	454
465	347	454
466	348	454
467	353	454
468	354	454
469	329	454
470	347	454
471	353	454
472	348	454
473	348	454
474	331	454
475	347	454
476	353	454
477	348	454
478	352	454
479	348	454
480	354	454
481	348	454
482	348	454
483	348	454
484	354	454
485	348	454
486	328	454
487	348	454
488	328	454
489	330	454
490	348	454
491	328	454
492	348	454
493	328	454
494	354	454
495	328	454
496	330	454
497	331	454
498	329	454
499	347	454
500	329	454
501	348	454
502	329	454
503	346	454
504	335	454
505	337	454
506	328	454
507	330	454
508	347	454
509	346	454
510	327	454
511	353	454
512	328	454
513	327	454
514	349	454
515	328	454
516	347	454
517	329	454
518	348	454
519	348	454
520	328	454
521	347	454
522	329	454
523	331	454
524	353	454
525	346	454
526	348	454
527	354	454
528	348	454
529	348	454
530	328	454
531	348	454
532	348	454
533	348	454
534	353	454
535	354	454
536	328	454
537	348	454
538	347	454
539	348	454
